日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021-01-15,'000012,国债指数,184.2401,184.2668,184.2232,184.2408,184.2246,0.0155,0.0084,127760,121224658.0
2021-01-14,'000012,国债指数,184.2246,184.298,184.2079,184.2587,184.2425,-0.0179,-0.0097,277528,263245602.0
2021-01-13,'000012,国债指数,184.2425,184.2462,184.1604,184.192,184.1756,0.0669,0.0363,208341,195758411.0
2021-01-12,'000012,国债指数,184.1756,184.1768,184.0583,184.0722,184.0559,0.1197,0.065,149366,143625017.0
2021-01-11,'000012,国债指数,184.0559,184.1495,184.0263,184.0743,184.0257,0.0302,0.0164,273507,261983961.0
2021-01-08,'000012,国债指数,184.0257,184.0285,183.9872,184.0075,183.9913,0.0344,0.0187,228372,219334980.0
2021-01-07,'000012,国债指数,183.9913,184.0732,183.9534,183.9654,183.949,0.0423,0.023,291210,283041153.0
2021-01-06,'000012,国债指数,183.949,183.9886,183.9019,183.9038,183.8881,0.0609,0.0331,274987,266023686.0
2021-01-05,'000012,国债指数,183.8881,183.8895,183.8241,183.871,183.8548,0.0333,0.0181,216758,206443828.0
2021-01-04,'000012,国债指数,183.8548,183.8552,183.7851,183.8426,183.7778,0.077,0.0419,171209,162481530.0
2020-12-31,'000012,国债指数,183.7778,183.7878,183.7404,183.7442,183.7275,0.0503,0.0274,321840,308829159.0
2020-12-30,'000012,国债指数,183.7275,183.7374,183.6899,183.7106,183.6942,0.0333,0.0181,235856,225840182.0
2020-12-29,'000012,国债指数,183.6942,183.6954,183.6324,183.6324,183.6161,0.0781,0.0425,188269,178811492.0
2020-12-28,'000012,国债指数,183.6161,183.6458,183.5872,183.6106,183.5612,0.0549,0.0299,159152,150410462.0
2020-12-25,'000012,国债指数,183.5612,183.562,183.5021,183.5288,183.5129,0.0483,0.0263,159857,150263944.0
2020-12-24,'000012,国债指数,183.5129,183.5347,183.5036,183.5236,183.5073,0.0056,0.0031,139394,133474808.0
2020-12-23,'000012,国债指数,183.5073,183.5364,183.4715,183.4821,183.4656,0.0417,0.0227,228785,213649047.0
2020-12-22,'000012,国债指数,183.4656,183.5256,183.4445,183.4739,183.4576,0.008,0.0044,212229,197479676.0
2020-12-21,'000012,国债指数,183.4576,183.4847,183.4455,183.4455,183.397,0.0606,0.033,185665,175830309.0
2020-12-18,'000012,国债指数,183.397,183.4175,183.3912,183.4159,183.4003,-0.0033,-0.0018,127895,120651251.0
2020-12-17,'000012,国债指数,183.4003,183.4419,183.3912,183.4403,183.4239,-0.0236,-0.0129,127161,119676315.0
