净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2021-01-21,5.5527,2.4218,1.61%,场内买入,场内卖出,nan
2021-01-20,5.4645,2.3843,0.71%,场内买入,场内卖出,nan
2021-01-19,5.4258,2.3679,-1.47%,场内买入,场内卖出,nan
2021-01-18,5.5066,2.4022,1.11%,场内买入,场内卖出,nan
2021-01-15,5.4464,2.3767,-0.23%,场内买入,场内卖出,nan
2021-01-14,5.4588,2.3819,-1.92%,场内买入,场内卖出,nan
2021-01-13,5.5658,2.4273,-0.32%,场内买入,场内卖出,nan
2021-01-12,5.5839,2.4350,2.84%,场内买入,场内卖出,nan
2021-01-11,5.4296,2.3695,-0.99%,场内买入,场内卖出,nan
2021-01-08,5.4839,2.3926,-0.33%,场内买入,场内卖出,nan
2021-01-07,5.5020,2.4003,1.77%,场内买入,场内卖出,nan
2021-01-06,5.4064,2.3597,0.91%,场内买入,场内卖出,nan
2021-01-05,5.3577,2.3390,1.90%,场内买入,场内卖出,nan
2021-01-04,5.2576,2.2965,1.08%,场内买入,场内卖出,nan
2020-12-31,5.2015,2.2727,1.91%,场内买入,场内卖出,nan
2020-12-30,5.1041,2.2313,1.40%,场内买入,场内卖出,nan
2020-12-29,5.0334,2.2013,-0.42%,场内买入,场内卖出,nan
2020-12-28,5.0547,2.2104,0.44%,场内买入,场内卖出,nan
2020-12-25,5.0325,2.2009,0.84%,场内买入,场内卖出,nan
2020-12-24,4.9907,2.1832,-0.14%,场内买入,场内卖出,nan
2020-12-23,4.9979,2.1863,0.85%,场内买入,场内卖出,nan
2020-12-22,4.9560,2.1685,-1.62%,场内买入,场内卖出,nan
2020-12-21,5.0378,2.2032,0.93%,场内买入,场内卖出,nan
2020-12-18,4.9914,2.1835,-0.35%,场内买入,场内卖出,nan
2020-12-17,5.0091,2.1910,1.28%,场内买入,场内卖出,nan
2020-12-16,4.9458,2.1641,0.17%,场内买入,场内卖出,nan
2020-12-15,4.9372,2.1605,0.20%,场内买入,场内卖出,nan
2020-12-14,4.9271,2.1562,0.91%,场内买入,场内卖出,nan
2020-12-11,4.8827,2.1374,-1.12%,场内买入,场内卖出,nan
2020-12-10,4.9380,2.1608,-0.05%,场内买入,场内卖出,nan
2020-12-09,4.9403,2.1618,-1.34%,场内买入,场内卖出,nan
2020-12-08,5.0074,2.1903,-0.25%,场内买入,场内卖出,nan
2020-12-07,5.0199,2.1956,-0.86%,场内买入,场内卖出,nan
2020-12-04,5.0637,2.2142,0.17%,场内买入,场内卖出,nan
2020-12-03,5.0550,2.2105,-0.20%,场内买入,场内卖出,nan
2020-12-02,5.0652,2.2148,0.00%,场内买入,场内卖出,nan
2020-12-01,5.0650,2.2147,2.15%,场内买入,场内卖出,nan
2020-11-30,4.9585,2.1695,-0.41%,场内买入,场内卖出,nan
2020-11-27,4.9788,2.1781,1.27%,场内买入,场内卖出,nan
2020-11-26,4.9166,2.1517,0.18%,场内买入,场内卖出,nan
2020-11-25,4.9080,2.1481,-1.27%,场内买入,场内卖出,nan
2020-11-24,4.9713,2.1750,-0.61%,场内买入,场内卖出,nan
2020-11-23,5.0020,2.1880,1.24%,场内买入,场内卖出,nan
2020-11-20,4.9405,2.1619,0.31%,场内买入,场内卖出,nan
2020-11-19,4.9253,2.1554,0.74%,场内买入,场内卖出,nan
2020-11-18,4.8890,2.1400,-0.06%,场内买入,场内卖出,nan
2020-11-17,4.8920,2.1413,-0.19%,场内买入,场内卖出,nan
2020-11-16,4.9014,2.1453,0.97%,场内买入,场内卖出,nan
2020-11-13,4.8543,2.1253,-1.05%,场内买入,场内卖出,nan
2020-11-12,4.9060,2.1472,0.10%,场内买入,场内卖出,nan
2020-11-11,4.9013,2.1452,-0.99%,场内买入,场内卖出,nan
2020-11-10,4.9502,2.1660,-0.55%,场内买入,场内卖出,nan
2020-11-09,4.9777,2.1777,1.96%,场内买入,场内卖出,nan
2020-11-06,4.8821,2.1371,0.01%,场内买入,场内卖出,nan
2020-11-05,4.8816,2.1369,1.49%,场内买入,场内卖出,nan
2020-11-04,4.8100,2.1065,0.75%,场内买入,场内卖出,nan
2020-11-03,4.7741,2.0912,1.21%,场内买入,场内卖出,nan
2020-11-02,4.7172,2.0671,0.54%,场内买入,场内卖出,nan
2020-10-30,4.6919,2.0564,-1.63%,场内买入,场内卖出,nan
2020-10-29,4.7695,2.0893,0.76%,场内买入,场内卖出,nan
2020-10-28,4.7337,2.0741,0.81%,场内买入,场内卖出,nan
2020-10-27,4.6957,2.0580,0.18%,场内买入,场内卖出,nan
2020-10-26,4.6874,2.0544,-0.58%,场内买入,场内卖出,nan
2020-10-23,4.7148,2.0661,-1.23%,场内买入,场内卖出,nan
2020-10-22,4.7736,2.0910,-0.31%,场内买入,场内卖出,nan
2020-10-21,4.7884,2.0973,-0.02%,场内买入,场内卖出,nan
2020-10-20,4.7892,2.0977,0.79%,场内买入,场内卖出,nan
2020-10-19,4.7515,2.0817,-0.76%,场内买入,场内卖出,nan
