净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2021-01-21,114.5130,1.1450,0.17%,场内买入,场内卖出,nan
2021-01-20,114.3170,1.1430,0.10%,场内买入,场内卖出,nan
2021-01-19,114.2050,1.1420,0.04%,场内买入,场内卖出,nan
2021-01-18,114.1560,1.1420,-0.15%,场内买入,场内卖出,nan
2021-01-15,114.3250,1.1430,-0.26%,场内买入,场内卖出,nan
2021-01-14,114.6190,1.1460,0.02%,场内买入,场内卖出,nan
2021-01-13,114.5910,1.1460,0.22%,场内买入,场内卖出,nan
2021-01-12,114.3370,1.1430,0.10%,场内买入,场内卖出,nan
2021-01-11,114.2210,1.1420,-0.05%,场内买入,场内卖出,nan
2021-01-08,114.2740,1.1430,-0.07%,场内买入,场内卖出,nan
2021-01-07,114.3590,1.1440,0.14%,场内买入,场内卖出,nan
2021-01-06,114.1980,1.1420,0.10%,场内买入,场内卖出,nan
2021-01-05,114.0840,1.1410,0.15%,场内买入,场内卖出,nan
2021-01-04,113.9180,1.1390,-0.11%,场内买入,场内卖出,nan
2020-12-31,114.0380,1.1400,-0.14%,场内买入,场内卖出,nan
2020-12-30,114.2030,1.1420,0.18%,场内买入,场内卖出,nan
2020-12-29,113.9960,1.1400,0.02%,场内买入,场内卖出,nan
2020-12-28,113.9720,1.1400,0.05%,场内买入,场内卖出,nan
2020-12-25,113.9120,1.1390,0.14%,场内买入,场内卖出,nan
2020-12-24,113.7500,1.1380,-0.10%,场内买入,场内卖出,nan
2020-12-23,113.8650,1.1390,0.04%,场内买入,场内卖出,nan
2020-12-22,113.8150,1.1380,0.16%,场内买入,场内卖出,nan
2020-12-21,113.6340,1.1360,0.10%,场内买入,场内卖出,nan
2020-12-18,113.5220,1.1350,0.01%,场内买入,场内卖出,nan
2020-12-17,113.5130,1.1350,-0.04%,场内买入,场内卖出,nan
2020-12-16,113.5610,1.1360,0.06%,场内买入,场内卖出,nan
2020-12-15,113.4880,1.1350,0.09%,场内买入,场内卖出,nan
2020-12-14,113.3890,1.1340,0.07%,场内买入,场内卖出,nan
2020-12-11,113.3080,1.1330,-0.16%,场内买入,场内卖出,nan
2020-12-10,113.4930,1.1350,0.10%,场内买入,场内卖出,nan
2020-12-09,113.3810,1.1340,-0.09%,场内买入,场内卖出,nan
2020-12-08,113.4860,1.1350,0.10%,场内买入,场内卖出,nan
2020-12-07,113.3770,1.1340,-0.04%,场内买入,场内卖出,nan
2020-12-04,113.4190,1.1340,0.06%,场内买入,场内卖出,nan
2020-12-03,113.3530,1.1340,-0.01%,场内买入,场内卖出,nan
2020-12-02,113.3600,1.1340,-0.10%,场内买入,场内卖出,nan
2020-12-01,113.4680,1.1350,-0.09%,场内买入,场内卖出,nan
2020-11-30,113.5650,1.1360,0.32%,场内买入,场内卖出,nan
2020-11-27,113.2070,1.1320,-0.02%,场内买入,场内卖出,nan
2020-11-26,113.2250,1.1320,0.01%,场内买入,场内卖出,nan
2020-11-25,113.2170,1.1320,0.09%,场内买入,场内卖出,nan
2020-11-24,113.1100,1.1310,-0.10%,场内买入,场内卖出,nan
2020-11-23,113.2200,1.1320,0.19%,场内买入,场内卖出,nan
2020-11-20,113.0040,1.1300,0.11%,场内买入,场内卖出,nan
2020-11-19,112.8820,1.1290,-0.20%,场内买入,场内卖出,nan
