净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2019-12-31,1.1937,1.7797,0.34%,开放申购,开放赎回,nan
2019-12-30,1.1896,1.7756,1.40%,开放申购,开放赎回,nan
2019-12-27,1.1732,1.7592,-0.09%,开放申购,开放赎回,nan
2019-12-26,1.1742,1.7602,0.83%,开放申购,开放赎回,nan
2019-12-25,1.1645,1.7505,-0.06%,开放申购,开放赎回,nan
2019-12-24,1.1652,1.7512,0.62%,开放申购,开放赎回,nan
2019-12-23,1.1580,1.7440,-1.18%,开放申购,开放赎回,nan
2019-12-20,1.1718,1.7578,-0.23%,开放申购,开放赎回,nan
2019-12-19,1.1745,1.7605,-0.13%,开放申购,开放赎回,nan
2019-12-18,1.1760,1.7620,-0.21%,开放申购,开放赎回,nan
2019-12-17,1.1785,1.7645,1.29%,开放申购,开放赎回,nan
2019-12-16,1.1635,1.7495,0.44%,开放申购,开放赎回,每份派现金0.0580元
2019-12-13,1.2162,1.7442,1.87%,限制大额申购,开放赎回,nan
2019-12-12,1.1939,1.7219,-0.27%,开放申购,开放赎回,nan
2019-12-11,1.1971,1.7251,0.08%,开放申购,开放赎回,nan
2019-12-10,1.1962,1.7242,0.13%,开放申购,开放赎回,nan
2019-12-09,1.1946,1.7226,-0.17%,开放申购,开放赎回,nan
2019-12-06,1.1966,1.7246,0.45%,开放申购,开放赎回,nan
2019-12-05,1.1912,1.7192,0.71%,开放申购,开放赎回,nan
2019-12-04,1.1828,1.7108,-0.03%,开放申购,开放赎回,nan
2019-12-03,1.1832,1.7112,0.37%,开放申购,开放赎回,nan
2019-12-02,1.1788,1.7068,0.17%,开放申购,开放赎回,nan
2019-11-29,1.1768,1.7048,-0.82%,开放申购,开放赎回,nan
2019-11-28,1.1865,1.7145,-0.33%,开放申购,开放赎回,nan
2019-11-27,1.1904,1.7184,-0.40%,开放申购,开放赎回,nan
2019-11-26,1.1952,1.7232,0.32%,开放申购,开放赎回,nan
2019-11-25,1.1914,1.7194,0.70%,开放申购,开放赎回,nan
