净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2021-01-20,4.4350,4.4350,2.26%,场内买入,场内卖出,nan
2021-01-19,4.3370,4.3370,1.55%,场内买入,场内卖出,nan
2021-01-18,4.2710,4.2710,0.31%,暂停申购,暂停赎回,nan
2021-01-15,4.2580,4.2580,-0.91%,场内买入,场内卖出,nan
2021-01-14,4.2970,4.2970,-0.37%,场内买入,场内卖出,nan
2021-01-13,4.3130,4.3130,0.33%,场内买入,场内卖出,nan
2021-01-12,4.2990,4.2990,-0.02%,场内买入,场内卖出,nan
2021-01-11,4.3000,4.3000,-1.47%,场内买入,场内卖出,nan
2021-01-08,4.3640,4.3640,1.42%,场内买入,场内卖出,nan
2021-01-07,4.3030,4.3030,2.50%,场内买入,场内卖出,nan
2021-01-06,4.1980,4.1980,-1.64%,场内买入,场内卖出,nan
2021-01-05,4.2680,4.2680,-0.12%,场内买入,场内卖出,nan
2021-01-04,4.2730,4.2730,-1.29%,场内买入,场内卖出,nan
2020-12-31,4.3290,nan,0.23%,场内买入,场内卖出,nan
2020-12-30,4.3190,4.3190,-0.18%,场内买入,场内卖出,nan
2020-12-29,4.3270,4.3270,0.35%,场内买入,场内卖出,nan
2020-12-28,4.3120,4.3120,0.89%,场内买入,场内卖出,nan
2020-12-25,4.2740,4.2740,-0.05%,暂停申购,暂停赎回,nan
2020-12-24,4.2760,4.2760,0.16%,场内买入,场内卖出,nan
2020-12-23,4.2690,4.2690,-0.28%,场内买入,场内卖出,nan
2020-12-22,4.2810,4.2810,0.05%,场内买入,场内卖出,nan
2020-12-21,4.2790,4.2790,-0.07%,场内买入,场内卖出,nan
2020-12-18,4.2820,4.2820,-0.19%,场内买入,场内卖出,nan
2020-12-17,4.2900,4.2900,0.66%,场内买入,场内卖出,nan
2020-12-16,4.2620,4.2620,0.45%,场内买入,场内卖出,nan
2020-12-15,4.2430,4.2430,1.19%,场内买入,场内卖出,nan
2020-12-14,4.1930,4.1930,0.62%,场内买入,场内卖出,nan
2020-12-11,4.1670,4.1670,-0.31%,场内买入,场内卖出,nan
2020-12-10,4.1800,4.1800,0.55%,场内买入,场内卖出,nan
2020-12-09,4.1570,4.1570,-2.17%,场内买入,场内卖出,nan
2020-12-08,4.2490,4.2490,0.24%,场内买入,场内卖出,nan
2020-12-07,4.2390,4.2390,0.33%,场内买入,场内卖出,nan
2020-12-04,4.2250,4.2250,0.36%,场内买入,场内卖出,nan
