净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2021-01-21,3.8223,1.4434,0.71%,场内买入,场内卖出,nan
2021-01-20,3.7953,1.4332,0.46%,场内买入,场内卖出,nan
2021-01-19,3.7778,1.4265,0.08%,场内买入,场内卖出,nan
2021-01-18,3.7747,1.4254,-0.21%,场内买入,场内卖出,nan
2021-01-15,3.7826,1.4284,0.42%,场内买入,场内卖出,nan
2021-01-14,3.7669,1.4224,-0.70%,场内买入,场内卖出,nan
2021-01-13,3.7935,1.4325,-0.36%,场内买入,场内卖出,nan
2021-01-12,3.8073,1.4377,0.77%,场内买入,场内卖出,nan
2021-01-11,3.7783,1.4267,-2.78%,场内买入,场内卖出,nan
2021-01-08,3.8862,1.4675,-0.63%,场内买入,场内卖出,nan
2021-01-07,3.9108,1.4768,-0.56%,场内买入,场内卖出,nan
2021-01-06,3.9328,1.4851,-0.08%,场内买入,场内卖出,nan
2021-01-05,3.9360,1.4863,0.74%,场内买入,场内卖出,nan
2021-01-04,3.9070,1.4753,1.99%,场内买入,场内卖出,nan
2020-12-31,3.8306,1.4465,-0.04%,场内买入,场内卖出,nan
2020-12-30,3.8321,1.4471,-0.06%,场内买入,场内卖出,nan
2020-12-29,3.8343,1.4479,-0.27%,场内买入,场内卖出,nan
2020-12-28,3.8445,1.4517,-0.15%,场内买入,场内卖出,nan
2020-12-25,3.8502,1.4539,0.46%,场内买入,场内卖出,nan
2020-12-24,3.8324,1.4472,0.08%,场内买入,场内卖出,nan
2020-12-23,3.8292,1.4460,-0.07%,场内买入,场内卖出,nan
2020-12-22,3.8318,1.4469,-1.44%,场内买入,场内卖出,nan
2020-12-21,3.8879,1.4681,1.43%,场内买入,场内卖出,nan
2020-12-18,3.8331,1.4474,0.44%,场内买入,场内卖出,nan
2020-12-17,3.8163,1.4411,0.82%,场内买入,场内卖出,nan
2020-12-16,3.7853,1.4294,0.44%,场内买入,场内卖出,nan
2020-12-15,3.7686,1.4231,0.86%,场内买入,场内卖出,nan
2020-12-14,3.7364,1.4109,-0.28%,场内买入,场内卖出,nan
2020-12-11,3.7469,1.4149,0.03%,场内买入,场内卖出,nan
2020-12-10,3.7459,1.4145,-0.86%,场内买入,场内卖出,nan
2020-12-09,3.7785,1.4268,-0.52%,场内买入,场内卖出,nan
2020-12-08,3.7984,1.4343,1.13%,场内买入,场内卖出,nan
2020-12-07,3.7561,1.4184,-0.22%,场内买入,场内卖出,nan
2020-12-04,3.7642,1.4214,0.10%,场内买入,场内卖出,nan
2020-12-03,3.7604,1.4200,1.19%,场内买入,场内卖出,nan
2020-12-02,3.7163,1.4033,1.46%,场内买入,场内卖出,nan
2020-12-01,3.6629,1.3832,0.67%,场内买入,场内卖出,nan
2020-11-30,3.6386,1.3740,-1.90%,场内买入,场内卖出,nan
2020-11-27,3.7089,1.4005,-0.33%,场内买入,场内卖出,nan
2020-11-26,3.7212,1.4052,0.10%,场内买入,场内卖出,nan
2020-11-25,3.7175,1.4038,-1.28%,场内买入,场内卖出,nan
2020-11-24,3.7656,1.4219,-2.12%,场内买入,场内卖出,nan
2020-11-23,3.8473,1.4528,-0.11%,场内买入,场内卖出,nan
2020-11-20,3.8514,1.4543,0.15%,场内买入,场内卖出,nan
2020-11-19,3.8457,1.4522,-0.55%,场内买入,场内卖出,nan
2020-11-18,3.8671,1.4603,-0.53%,场内买入,场内卖出,nan
2020-11-17,3.8878,1.4681,-0.05%,场内买入,场内卖出,nan
2020-11-16,3.8899,1.4689,0.01%,场内买入,场内卖出,nan
2020-11-13,3.8894,1.4687,0.38%,场内买入,场内卖出,nan
2020-11-12,3.8748,1.4632,-0.48%,场内买入,场内卖出,nan
2020-11-11,3.8933,1.4702,-0.10%,场内买入,场内卖出,nan
2020-11-10,3.8971,1.4716,-2.38%,场内买入,场内卖出,nan
2020-11-09,3.9920,1.5074,-0.17%,场内买入,场内卖出,nan
2020-11-06,3.9986,1.5099,1.13%,场内买入,场内卖出,nan
2020-11-05,3.9541,1.4931,-0.06%,场内买入,场内卖出,nan
2020-11-04,3.9565,1.4940,0.27%,场内买入,场内卖出,nan
