index,中欧时代先锋,纳斯达克_etf,中银多策略混合
2015-11-03,1.0,1.581,1.296
2015-11-04,1.0,1.582,1.296
2015-11-05,1.0,1.579,1.296
2015-11-06,1.019,1.582,1.296
2015-11-09,1.019,1.567,1.296
2015-11-10,1.019,1.564,1.295
2015-11-11,1.019,1.563,1.295
2015-11-12,1.019,1.548,1.295
2015-11-13,1.063,1.521,1.295
2015-11-16,1.063,1.544,1.295
2015-11-17,1.063,1.544,1.295
2015-11-18,1.063,1.574,1.295
2015-11-19,1.063,1.574,1.295
2015-11-20,1.101,1.584,1.295
2015-11-23,1.101,1.582,1.295
2015-11-24,1.101,1.581,1.295
2015-11-25,1.101,1.582,1.296
2015-11-26,1.101,1.582,1.296
2015-11-27,1.087,1.586,1.295
2015-11-30,1.087,1.582,1.295
2015-12-01,1.087,1.6,1.295
2015-12-02,1.088,1.589,1.296
2015-12-03,1.105,1.563,1.296
2015-12-04,1.104,1.596,1.296
2015-12-07,1.11,1.592,1.296
2015-12-08,1.103,1.595,1.296
2015-12-09,1.112,1.572,1.296
2015-12-10,1.108,1.581,1.297
2015-12-11,1.105,1.549,1.297
2015-12-14,1.103,1.563,1.297
2015-12-15,1.108,1.574,1.297
2015-12-16,1.108,1.598,1.297
2015-12-17,1.115,1.579,1.297
2015-12-18,1.121,1.552,1.298
2015-12-21,1.131,1.566,1.299
2015-12-22,1.137,1.576,1.299
2015-12-23,1.133,1.588,1.299
2015-12-24,1.131,1.587,1.3
2015-12-25,1.138,1.587,1.3
2015-12-28,1.12,1.586,1.3
2015-12-29,1.126,1.613,1.301
2015-12-30,1.132,1.6,1.301
2015-12-31,1.133,1.581,1.301
2016-01-04,1.081,1.551,1.301
2016-01-05,1.077,1.549,1.301
2016-01-06,1.101,1.539,1.301
2016-01-07,1.023,1.499,1.301
2016-01-08,1.057,1.487,1.302
2016-01-11,1.006,1.491,1.302
2016-01-12,0.994,1.508,1.302
2016-01-13,0.975,1.457,1.302
2016-01-14,1.004,1.486,1.303
2016-01-15,0.972,1.444,1.302
2016-01-18,0.989,1.444,1.302
2016-01-19,1.018,1.443,1.303
2016-01-20,1.026,1.439,1.302
2016-01-21,0.997,1.441,1.302
2016-01-22,1.01,1.482,1.302
2016-01-25,1.014,1.459,1.302
2016-01-26,0.968,1.473,1.301
2016-01-27,0.97,1.434,1.3
2016-01-28,0.944,1.454,1.3
2016-01-29,0.959,1.487,1.3
2016-02-01,0.955,1.49,1.3
2016-02-02,0.986,1.456,1.3
2016-02-03,0.998,1.45,1.3
2016-02-04,1.016,1.447,1.301
2016-02-05,0.999,1.394,1.301
2016-02-15,1.006,1.394,1.302
2016-02-16,1.04,1.419,1.302
2016-02-17,1.05,1.455,1.302
2016-02-18,1.044,1.436,1.302
2016-02-19,1.049,1.441,1.303
2016-02-22,1.069,1.464,1.303
2016-02-23,1.064,1.442,1.304
2016-02-24,1.057,1.456,1.304
2016-02-25,0.992,1.471,1.303
2016-02-26,0.991,1.469,1.303
2016-02-29,0.954,1.46,1.303
2016-03-01,0.968,1.505,1.304
2016-03-02,0.999,1.508,1.304
2016-03-03,0.992,1.503,1.304
2016-03-04,0.972,1.501,1.305
2016-03-07,0.978,1.488,1.305
2016-03-08,0.983,1.473,1.305
2016-03-09,0.967,1.485,1.305
2016-03-10,0.962,1.483,1.306
2016-03-11,0.961,1.504,1.306
2016-03-14,0.973,1.506,1.307
2016-03-15,0.975,1.509,1.307
2016-03-16,0.972,1.524,1.307
2016-03-17,1.006,1.518,1.308
2016-03-18,1.041,1.514,1.307
2016-03-21,1.058,1.524,1.308
2016-03-22,1.055,1.531,1.307
2016-03-23,1.067,1.518,1.307
2016-03-24,1.055,1.524,1.307
2016-03-25,1.057,1.524,1.308
2016-03-28,1.06,1.523,1.308
