date,weight,cash
2015-11-04,[0.16677209 0.16666667 0.16666667 0.16650517 0.17309237 0.17318132],0.0
2015-11-05,[0.16645583 0.16666667 0.16666667 0.16666667 0.17376171 0.17399566],0.0
2015-11-06,[0.16677209 0.16666667 0.16983333 0.16682817 0.17797858 0.17603149],0.0
2015-11-09,[0.16519081 0.16666667 0.16983333 0.16602067 0.18018742 0.17738871],0.0
2015-11-10,[0.16487455 0.16653807 0.16983333 0.16569767 0.18165997 0.17684582],0.0
2015-11-11,[0.16476913 0.16653807 0.16983333 0.16585917 0.18427041 0.17657438],0.0
2015-11-12,[0.16318786 0.16653807 0.16983333 0.16585917 0.18440428 0.17657438],0.0
2015-11-13,[0.16034156 0.16653807 0.17716667 0.16585917 0.1815261  0.17358849],0.0
2015-11-16,[0.16276618 0.16653807 0.17716667 0.16602067 0.18386881 0.17385993],0.0
2015-11-17,[0.16276618 0.16653807 0.17716667 0.16602067 0.1834672  0.17413138],0.0
2015-11-18,[0.16592874 0.16653807 0.17716667 0.16602067 0.1811245  0.17263844],0.0
2015-11-19,[0.16592874 0.16653807 0.17716667 0.16602067 0.18413655 0.17467427],0.0
2015-11-20,[0.16698292 0.16653807 0.1835     0.16618217 0.18554217 0.17399566],0.0
2015-11-23,[0.16677209 0.16653807 0.1835     0.16602067 0.18433735 0.17236699],0.0
2015-11-24,[0.16666667 0.16653807 0.1835     0.16618217 0.18514056 0.1730456 ],0.0
2015-11-25,[0.16677209 0.16666667 0.1835     0.16634367 0.18882195 0.17494571],0.0
2015-11-26,[0.16677209 0.16666667 0.1835     0.16650517 0.18821954 0.17453855],0.0
2015-11-27,[0.16719376 0.16653807 0.18116667 0.16602067 0.17985274 0.16680239],0.0
2015-11-30,[0.16677209 0.16653807 0.18116667 0.16618217 0.18072289 0.16761672],0.0
2015-12-01,[0.16866962 0.16653807 0.18116667 0.16618217 0.18005355 0.16938111],0.0
2015-12-02,[0.16751001 0.16666667 0.18133333 0.16650517 0.17998661 0.17372421],0.0
2015-12-03,[0.16476913 0.16666667 0.18416667 0.16666667 0.18319946 0.17413138],0.0
2015-12-04,[0.16824794 0.16666667 0.184      0.16715116 0.18159304 0.1730456 ],0.0
2015-12-07,[0.16782627 0.16666667 0.185      0.16747416 0.18293173 0.17413138],0.0
2015-12-08,[0.16814253 0.16666667 0.18383333 0.16747416 0.18219545 0.16978827],0.0
2015-12-09,[0.1657179  0.16666667 0.18533333 0.16763566 0.18226238 0.17073833],0.0
