"日期","收盘","开盘","高","低","涨跌幅"
"2021年1月15日","3.153","3.137","3.153","3.129","0.41%"
"2021年1月14日","3.140","3.172","3.172","3.133","0.22%"
"2021年1月13日","3.133","3.184","3.184","3.130","-1.04%"
"2021年1月12日","3.166","3.190","3.190","3.150","-0.22%"
"2021年1月11日","3.173","3.245","3.245","3.161","-0.84%"
"2021年1月8日","3.200","3.200","3.200","3.186","0.44%"
"2021年1月7日","3.186","3.224","3.224","3.170","0.03%"
"2021年1月6日","3.185","3.226","3.226","3.175","-0.56%"
"2021年1月5日","3.203","3.244","3.244","3.195","-0.47%"
"2021年1月4日","3.218","3.278","3.278","3.195","0.47%"
"2020年12月31日","3.203","3.192","3.207","3.174","0.34%"
"2020年12月30日","3.192","3.230","3.230","3.185","-0.41%"
"2020年12月29日","3.205","3.231","3.231","3.198","-0.25%"
"2020年12月28日","3.213","3.290","3.290","3.199","-0.83%"
"2020年12月25日","3.240","3.280","3.283","3.233","-0.58%"
"2020年12月24日","3.259","3.274","3.280","3.242","0.46%"
"2020年12月23日","3.244","3.282","3.282","3.244","-0.76%"
"2020年12月22日","3.269","3.308","3.308","3.249","-0.82%"
"2020年12月21日","3.296","3.396","3.396","3.290","-0.30%"
"2020年12月18日","3.306","3.337","3.337","3.293","0.09%"
"2020年12月17日","3.303","3.316","3.316","3.295","0.00%"
"2020年12月16日","3.303","3.359","3.359","3.286","0.15%"
"2020年12月15日","3.298","3.325","3.325","3.294","-0.36%"
"2020年12月14日","3.310","3.401","3.401","3.309","0.09%"
"2020年12月11日","3.307","3.350","3.350","3.293","0.61%"
"2020年12月10日","3.287","3.350","3.350","3.273","-0.42%"
"2020年12月9日","3.301","3.341","3.341","3.285","0.33%"
"2020年12月8日","3.290","3.349","3.349","3.280","-0.39%"
"2020年12月7日","3.303","3.350","3.350","3.298","0.06%"
"2020年12月4日","3.301","3.359","3.359","3.290","-0.51%"
"2020年12月3日","3.318","3.359","3.359","3.308","0.12%"
"2020年12月2日","3.314","3.360","3.360","3.305","0.45%"
"2020年12月1日","3.299","3.369","3.369","3.280","0.58%"
"2020年11月30日","3.280","3.400","3.400","3.268","-1.00%"
"2020年11月27日","3.313","3.375","3.375","3.291","0.18%"
"2020年11月26日","3.307","3.352","3.352","3.298","0.00%"
"2020年11月25日","3.307","3.399","3.399","3.286","-0.24%"
"2020年11月24日","3.315","3.328","3.330","3.288","0.79%"
"2020年11月23日","3.289","3.310","3.345","3.286","-1.29%"
"2020年11月20日","3.332","3.345","3.362","3.328","-0.09%"
"2020年11月19日","3.335","3.418","3.418","3.313","0.51%"
"2020年11月18日","3.318","3.320","3.320","3.288","0.97%"
