净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2021-02-01,2.0303,3.1971,1.11%,限制大额申购,开放赎回,nan
2021-01-29,2.0081,3.1749,-0.64%,限制大额申购,开放赎回,nan
2021-01-28,2.0210,3.1878,-3.63%,限制大额申购,开放赎回,nan
2021-01-27,2.0972,3.2640,1.20%,限制大额申购,开放赎回,nan
2021-01-26,2.0723,3.2391,-2.36%,限制大额申购,开放赎回,nan
2021-01-25,2.1223,3.2891,0.79%,限制大额申购,开放赎回,nan
2021-01-22,2.1057,3.2725,1.62%,限制大额申购,开放赎回,nan
2021-01-21,2.0721,3.2389,2.51%,限制大额申购,开放赎回,nan
2021-01-20,2.0213,3.1881,1.25%,限制大额申购,开放赎回,nan
2021-01-19,1.9964,3.1632,-1.81%,限制大额申购,开放赎回,nan
2021-01-18,2.0331,3.1999,2.57%,限制大额申购,开放赎回,nan
2021-01-15,1.9822,3.1490,0.56%,限制大额申购,开放赎回,nan
2021-01-14,1.9712,3.1380,-1.77%,限制大额申购,开放赎回,nan
2021-01-13,2.0067,3.1735,-1.95%,限制大额申购,开放赎回,nan
2021-01-12,2.0467,3.2135,3.37%,限制大额申购,开放赎回,nan
2021-01-11,1.9799,3.1467,0.25%,限制大额申购,开放赎回,每份派现金0.2600元
2021-01-08,2.2343,3.1411,-0.20%,限制大额申购,开放赎回,nan
2021-01-07,2.2387,3.1455,1.80%,限制大额申购,开放赎回,nan
2021-01-06,2.1992,3.1060,-0.07%,限制大额申购,开放赎回,nan
2021-01-05,2.2008,3.1076,2.49%,限制大额申购,开放赎回,nan
2021-01-04,2.1473,3.0541,3.75%,限制大额申购,开放赎回,nan
2020-12-31,2.0697,2.9765,1.44%,限制大额申购,开放赎回,nan
2020-12-30,2.0403,2.9471,2.82%,限制大额申购,开放赎回,nan
2020-12-29,1.9843,2.8911,-2.13%,限制大额申购,开放赎回,nan
2020-12-28,2.0274,2.9342,0.25%,限制大额申购,开放赎回,nan
2020-12-25,2.0223,2.9291,2.20%,限制大额申购,开放赎回,nan
2020-12-24,1.9787,2.8855,0.25%,限制大额申购,开放赎回,nan
2020-12-23,1.9738,2.8806,1.33%,限制大额申购,开放赎回,nan
2020-12-22,1.9479,2.8547,-1.68%,限制大额申购,开放赎回,nan
2020-12-21,1.9812,2.8880,2.68%,限制大额申购,开放赎回,nan
2020-12-18,1.9294,2.8362,0.89%,限制大额申购,开放赎回,nan
2020-12-17,1.9124,2.8192,0.65%,限制大额申购,开放赎回,nan
2020-12-16,1.9000,2.8068,0.09%,限制大额申购,开放赎回,nan
2020-12-15,1.8983,2.8051,1.39%,限制大额申购,开放赎回,nan
2020-12-14,1.8722,2.7790,0.99%,限制大额申购,开放赎回,nan
2020-12-11,1.8538,2.7606,-0.50%,限制大额申购,开放赎回,nan
2020-12-10,1.8631,2.7699,0.14%,限制大额申购,开放赎回,nan
2020-12-09,1.8605,2.7673,-1.67%,限制大额申购,开放赎回,nan
2020-12-08,1.8921,2.7989,0.68%,限制大额申购,开放赎回,nan
2020-12-07,1.8794,2.7862,-0.40%,限制大额申购,开放赎回,nan
2020-12-04,1.8870,2.7938,1.07%,限制大额申购,开放赎回,nan
2020-12-03,1.8670,2.7738,-0.01%,限制大额申购,开放赎回,nan
2020-12-02,1.8671,2.7739,-0.47%,限制大额申购,开放赎回,nan
2020-12-01,1.8759,2.7827,1.69%,限制大额申购,开放赎回,nan
2020-11-30,1.8448,2.7516,-0.73%,限制大额申购,开放赎回,nan
2020-11-27,1.8583,2.7651,0.63%,限制大额申购,开放赎回,nan
2020-11-26,1.8466,2.7534,-0.74%,限制大额申购,开放赎回,nan
2020-11-25,1.8604,2.7672,-1.83%,限制大额申购,开放赎回,nan
2020-11-24,1.8951,2.8019,-0.59%,限制大额申购,开放赎回,nan
2020-11-23,1.9063,2.8131,1.26%,限制大额申购,开放赎回,nan
2020-11-20,1.8825,2.7893,0.61%,限制大额申购,开放赎回,nan
2020-11-19,1.8710,2.7778,1.73%,限制大额申购,开放赎回,nan
2020-11-18,1.8391,2.7459,-1.79%,限制大额申购,开放赎回,nan
2020-11-17,1.8727,2.7795,-0.81%,限制大额申购,开放赎回,nan
2020-11-16,1.8879,2.7947,1.46%,限制大额申购,开放赎回,nan
2020-11-13,1.8608,2.7676,0.20%,限制大额申购,开放赎回,nan
2020-11-12,1.8571,2.7639,0.83%,限制大额申购,开放赎回,nan
2020-11-11,1.8418,2.7486,-1.63%,限制大额申购,开放赎回,nan
2020-11-10,1.8723,2.7791,-0.96%,限制大额申购,开放赎回,nan
2020-11-09,1.8904,2.7972,1.09%,限制大额申购,开放赎回,nan
2020-11-06,1.8701,2.7769,-0.52%,限制大额申购,开放赎回,nan
2020-11-05,1.8798,2.7866,2.79%,限制大额申购,开放赎回,nan
2020-11-04,1.8288,2.7356,1.29%,限制大额申购,开放赎回,nan
2020-11-03,1.8055,2.7123,0.92%,限制大额申购,开放赎回,nan
2020-11-02,1.7890,2.6958,3.17%,限制大额申购,开放赎回,nan
2020-10-30,1.7341,2.6409,-1.10%,限制大额申购,开放赎回,nan
2020-10-29,1.7533,2.6601,0.76%,限制大额申购,开放赎回,每份派现金0.2400元
2020-10-28,1.9783,2.6451,2.01%,限制大额申购,开放赎回,nan
2020-10-27,1.9393,2.6061,1.39%,限制大额申购,开放赎回,nan
2020-10-26,1.9128,2.5796,0.76%,限制大额申购,开放赎回,nan
2020-10-23,1.8984,2.5652,-1.94%,限制大额申购,开放赎回,nan
2020-10-22,1.9360,2.6028,-0.69%,限制大额申购,开放赎回,nan
2020-10-21,1.9494,2.6162,-1.26%,限制大额申购,开放赎回,nan
2020-10-20,1.9742,2.6410,2.19%,限制大额申购,开放赎回,nan
2020-10-19,1.9319,2.5987,-0.42%,限制大额申购,开放赎回,nan
2020-10-16,1.9400,2.6068,-1.62%,限制大额申购,开放赎回,nan
2020-10-15,1.9719,2.6387,-0.52%,限制大额申购,开放赎回,nan
2020-10-14,1.9822,2.6490,-1.09%,限制大额申购,开放赎回,nan
2020-10-13,2.0041,2.6709,1.77%,限制大额申购,开放赎回,nan
2020-10-12,1.9692,2.6360,3.26%,限制大额申购,开放赎回,nan
2020-10-09,1.9070,2.5738,2.88%,限制大额申购,开放赎回,nan
2020-09-30,1.8537,2.5205,0.30%,限制大额申购,开放赎回,nan
2020-09-29,1.8481,2.5149,1.53%,限制大额申购,开放赎回,nan
2020-09-28,1.8203,2.4871,0.06%,限制大额申购,开放赎回,nan
2020-09-25,1.8192,2.4860,0.19%,限制大额申购,开放赎回,nan
2020-09-24,1.8158,2.4826,-2.62%,限制大额申购,开放赎回,nan
2020-09-23,1.8647,2.5315,0.37%,限制大额申购,开放赎回,nan
2020-09-22,1.8578,2.5246,-1.44%,限制大额申购,开放赎回,nan
2020-09-21,1.8850,2.5518,-0.84%,限制大额申购,开放赎回,nan
2020-09-18,1.9010,2.5678,0.89%,限制大额申购,开放赎回,nan
2020-09-17,1.8842,2.5510,0.28%,限制大额申购,开放赎回,nan
2020-09-16,1.8789,2.5457,-0.36%,限制大额申购,开放赎回,nan
2020-09-15,1.8856,2.5524,1.09%,限制大额申购,开放赎回,nan
2020-09-14,1.8653,2.5321,0.69%,限制大额申购,开放赎回,nan
2020-09-11,1.8525,2.5193,1.77%,限制大额申购,开放赎回,nan
2020-09-10,1.8202,2.4870,-0.20%,限制大额申购,开放赎回,nan
2020-09-09,1.8239,2.4907,-3.50%,限制大额申购,开放赎回,nan
2020-09-08,1.8901,2.5569,-0.48%,限制大额申购,开放赎回,nan
2020-09-07,1.8993,2.5661,-3.06%,限制大额申购,开放赎回,nan
