净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2021-01-21,1.2731,1.3031,0.11%,开放申购,开放赎回,nan
2021-01-20,1.2717,1.3017,0.07%,开放申购,开放赎回,nan
2021-01-19,1.2708,1.3008,0.09%,开放申购,开放赎回,nan
2021-01-18,1.2697,1.2997,-0.11%,开放申购,开放赎回,nan
2021-01-15,1.2711,1.3011,-0.17%,开放申购,开放赎回,nan
2021-01-14,1.2733,1.3033,0.09%,开放申购,开放赎回,nan
2021-01-13,1.2721,1.3021,0.20%,开放申购,开放赎回,nan
2021-01-12,1.2696,1.2996,0.09%,开放申购,开放赎回,nan
2021-01-11,1.2684,1.2984,-0.12%,开放申购,开放赎回,nan
2021-01-08,1.2699,1.2999,-0.13%,开放申购,开放赎回,nan
2021-01-07,1.2715,1.3015,0.09%,开放申购,开放赎回,nan
2021-01-06,1.2703,1.3003,0.06%,开放申购,开放赎回,nan
2021-01-05,1.2695,1.2995,0.17%,开放申购,开放赎回,nan
2021-01-04,1.2673,1.2973,-0.10%,开放申购,开放赎回,nan
2020-12-31,1.2686,1.2986,-0.13%,开放申购,开放赎回,nan
2020-12-30,1.2703,1.3003,0.21%,开放申购,开放赎回,nan
2020-12-29,1.2676,1.2976,0.09%,开放申购,开放赎回,nan
2020-12-28,1.2665,1.2965,0.14%,开放申购,开放赎回,nan
2020-12-25,1.2647,1.2947,0.20%,开放申购,开放赎回,nan
2020-12-24,1.2622,1.2922,-0.10%,开放申购,开放赎回,nan
2020-12-23,1.2635,1.2935,-0.01%,开放申购,开放赎回,nan
2020-12-22,1.2636,1.2936,0.24%,开放申购,开放赎回,nan
2020-12-21,1.2606,1.2906,0.15%,开放申购,开放赎回,nan
2020-12-18,1.2587,1.2887,-0.04%,开放申购,开放赎回,nan
2020-12-17,1.2592,1.2892,-0.01%,开放申购,开放赎回,nan
2020-12-16,1.2593,1.2893,0.03%,开放申购,开放赎回,nan
2020-12-15,1.2589,1.2889,0.09%,开放申购,开放赎回,nan
2020-12-14,1.2578,1.2878,0.03%,开放申购,开放赎回,nan
2020-12-11,1.2574,1.2874,-0.21%,开放申购,开放赎回,nan
2020-12-10,1.2600,1.2900,0.06%,开放申购,开放赎回,nan
2020-12-09,1.2593,1.2893,-0.06%,开放申购,开放赎回,nan
2020-12-08,1.2600,1.2900,0.11%,开放申购,开放赎回,nan
2020-12-07,1.2586,1.2886,0.02%,开放申购,开放赎回,nan
2020-12-04,1.2583,1.2883,0.05%,开放申购,开放赎回,nan
2020-12-03,1.2577,1.2877,0.06%,开放申购,开放赎回,nan
2020-12-02,1.2570,1.2870,-0.10%,开放申购,开放赎回,nan
2020-12-01,1.2582,1.2882,-0.12%,开放申购,开放赎回,nan
2020-11-30,1.2597,1.2897,0.25%,开放申购,开放赎回,nan
2020-11-27,1.2566,1.2866,-0.03%,开放申购,开放赎回,nan
2020-11-26,1.2570,1.2870,-0.07%,开放申购,开放赎回,nan
2020-11-25,1.2579,1.2879,0.06%,开放申购,开放赎回,nan
2020-11-24,1.2572,1.2872,-0.09%,开放申购,开放赎回,nan
2020-11-23,1.2583,1.2883,0.29%,开放申购,开放赎回,nan
2020-11-20,1.2546,1.2846,0.06%,开放申购,开放赎回,nan
2020-11-19,1.2538,1.2838,-0.14%,开放申购,开放赎回,nan
2020-11-18,1.2555,1.2855,-0.23%,开放申购,开放赎回,nan
2020-11-17,1.2584,1.2884,-0.09%,开放申购,开放赎回,nan
2020-11-16,1.2595,1.2895,0.03%,开放申购,开放赎回,nan
2020-11-13,1.2591,1.2891,-0.07%,开放申购,开放赎回,nan
2020-11-12,1.2600,1.2900,-0.13%,开放申购,开放赎回,nan
2020-11-11,1.2616,1.2916,-0.05%,开放申购,开放赎回,nan
2020-11-10,1.2622,1.2922,0.02%,开放申购,开放赎回,nan
2020-11-09,1.2619,1.2919,-0.10%,开放申购,开放赎回,nan
2020-11-06,1.2632,1.2932,-0.15%,开放申购,开放赎回,nan
2020-11-05,1.2651,1.2951,-0.02%,开放申购,开放赎回,nan
2020-11-04,1.2654,1.2954,0.04%,开放申购,开放赎回,nan
2020-11-03,1.2649,1.2949,0.03%,开放申购,开放赎回,nan
2020-11-02,1.2645,1.2945,0.06%,开放申购,开放赎回,nan
2020-10-30,1.2638,1.2938,0.03%,开放申购,开放赎回,nan
2020-10-29,1.2634,1.2934,0.01%,开放申购,开放赎回,nan
2020-10-28,1.2633,1.2933,-0.06%,开放申购,开放赎回,nan
2020-10-27,1.2641,1.2941,0.18%,开放申购,开放赎回,nan
2020-10-26,1.2618,1.2918,-0.02%,开放申购,开放赎回,nan
2020-10-23,1.2620,1.2920,-0.14%,开放申购,开放赎回,nan
2020-10-22,1.2638,1.2938,0.12%,开放申购,开放赎回,nan
2020-10-21,1.2623,1.2923,0.11%,开放申购,开放赎回,nan
2020-10-20,1.2609,1.2909,0.04%,开放申购,开放赎回,nan
2020-10-19,1.2604,1.2904,0.12%,开放申购,开放赎回,nan
2020-10-16,1.2589,1.2889,-0.02%,开放申购,开放赎回,nan
2020-10-15,1.2591,1.2891,-0.07%,开放申购,开放赎回,nan
2020-10-14,1.2600,1.2900,-0.09%,开放申购,开放赎回,nan
2020-10-13,1.2611,1.2911,0.01%,开放申购,开放赎回,nan
2020-10-12,1.2610,1.2910,0.01%,开放申购,开放赎回,nan
2020-10-09,1.2609,1.2909,-0.20%,开放申购,开放赎回,nan
2020-09-30,1.2634,1.2934,-0.14%,开放申购,开放赎回,nan
2020-09-29,1.2652,1.2952,-0.09%,开放申购,开放赎回,nan
2020-09-28,1.2664,1.2964,0.17%,开放申购,开放赎回,nan
2020-09-25,1.2643,1.2943,-0.22%,开放申购,开放赎回,nan
2020-09-24,1.2671,1.2971,0.03%,开放申购,开放赎回,nan
2020-09-23,1.2667,1.2967,-0.05%,开放申购,开放赎回,nan
2020-09-22,1.2673,1.2973,0.15%,开放申购,开放赎回,nan
2020-09-21,1.2654,1.2954,0.09%,开放申购,开放赎回,nan
2020-09-18,1.2642,1.2942,0.06%,开放申购,开放赎回,nan
2020-09-17,1.2634,1.2934,-0.02%,开放申购,开放赎回,nan
2020-09-16,1.2637,1.2937,-0.10%,开放申购,开放赎回,nan
2020-09-15,1.2650,1.2950,0.30%,开放申购,开放赎回,nan
2020-09-14,1.2612,1.2912,-0.12%,开放申购,开放赎回,nan
2020-09-11,1.2627,1.2927,-0.27%,开放申购,开放赎回,nan
2020-09-10,1.2661,1.2961,-0.02%,开放申购,开放赎回,nan
2020-09-09,1.2664,1.2964,0.22%,开放申购,开放赎回,nan
2020-09-08,1.2636,1.2936,0.08%,开放申购,开放赎回,nan
2020-09-07,1.2626,1.2926,-0.18%,开放申购,开放赎回,nan
2020-09-04,1.2649,1.2949,-0.08%,开放申购,开放赎回,nan
2020-09-03,1.2659,1.2959,0.02%,开放申购,开放赎回,nan
2020-09-02,1.2656,1.2956,-0.28%,开放申购,开放赎回,nan
2020-09-01,1.2692,1.2992,-0.04%,开放申购,开放赎回,nan
2020-08-31,1.2697,1.2997,0.26%,开放申购,开放赎回,nan
2020-08-28,1.2664,1.2964,-0.06%,开放申购,开放赎回,nan
2020-08-27,1.2671,1.2971,-0.06%,开放申购,开放赎回,nan
