净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2021-01-21,1.2294,1.2842,0.01%,限制大额申购,开放赎回,nan
2021-01-20,1.2293,1.2841,0.01%,限制大额申购,开放赎回,nan
2021-01-19,1.2292,1.2840,0.00%,限制大额申购,开放赎回,nan
2021-01-18,1.2292,1.2840,0.02%,限制大额申购,开放赎回,nan
2021-01-15,1.2289,1.2837,0.02%,限制大额申购,开放赎回,nan
2021-01-14,1.2286,1.2834,0.02%,限制大额申购,开放赎回,nan
2021-01-13,1.2284,1.2832,0.00%,限制大额申购,开放赎回,nan
2021-01-12,1.2284,1.2832,0.01%,限制大额申购,开放赎回,nan
2021-01-11,1.2283,1.2831,0.03%,限制大额申购,开放赎回,nan
2021-01-08,1.2279,1.2827,0.02%,限制大额申购,开放赎回,nan
2021-01-07,1.2276,1.2824,0.02%,限制大额申购,开放赎回,nan
2021-01-06,1.2274,1.2822,0.02%,限制大额申购,开放赎回,nan
2021-01-05,1.2272,1.2820,0.02%,限制大额申购,开放赎回,nan
2021-01-04,1.2270,1.2818,0.04%,限制大额申购,开放赎回,nan
2020-12-31,1.2265,1.2813,0.02%,限制大额申购,开放赎回,nan
2020-12-30,1.2262,1.2810,0.01%,限制大额申购,开放赎回,nan
2020-12-29,1.2261,1.2809,0.01%,限制大额申购,开放赎回,nan
2020-12-28,1.2260,1.2808,0.03%,限制大额申购,开放赎回,nan
2020-12-25,1.2256,1.2804,0.01%,限制大额申购,开放赎回,nan
2020-12-24,1.2255,1.2803,0.02%,限制大额申购,开放赎回,nan
2020-12-23,1.2253,1.2801,0.02%,限制大额申购,开放赎回,nan
2020-12-22,1.2251,1.2799,0.02%,限制大额申购,开放赎回,nan
2020-12-21,1.2249,1.2797,0.02%,限制大额申购,开放赎回,nan
2020-12-18,1.2246,1.2794,0.02%,限制大额申购,开放赎回,nan
2020-12-17,1.2244,1.2792,0.02%,限制大额申购,开放赎回,nan
