净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2021-02-01,2.3950,2.3950,0.59%,开放申购,开放赎回,nan
2021-01-29,2.3810,2.3810,-0.75%,开放申购,开放赎回,nan
2021-01-28,2.3990,2.3990,-1.64%,开放申购,开放赎回,nan
2021-01-27,2.4390,2.4390,0.21%,开放申购,开放赎回,nan
2021-01-26,2.4340,2.4340,-0.53%,开放申购,开放赎回,nan
2021-01-25,2.4470,2.4470,0.29%,开放申购,开放赎回,nan
2021-01-22,2.4400,2.4400,0.12%,开放申购,开放赎回,nan
2021-01-21,2.4370,2.4370,0.54%,开放申购,开放赎回,nan
2021-01-20,2.4240,2.4240,0.83%,开放申购,开放赎回,nan
2021-01-19,2.4040,2.4040,-0.50%,开放申购,开放赎回,nan
2021-01-18,2.4160,2.4160,1.13%,开放申购,开放赎回,nan
2021-01-15,2.3890,2.3890,-0.42%,开放申购,开放赎回,nan
2021-01-14,2.3990,2.3990,-0.25%,开放申购,开放赎回,nan
2021-01-13,2.4050,2.4050,0.25%,开放申购,开放赎回,nan
2021-01-12,2.3990,2.3990,0.71%,开放申购,开放赎回,nan
2021-01-11,2.3820,2.3820,-0.58%,开放申购,开放赎回,nan
2021-01-08,2.3960,2.3960,0.25%,开放申购,开放赎回,nan
2021-01-07,2.3900,2.3900,0.97%,开放申购,开放赎回,nan
2021-01-06,2.3670,2.3670,0.25%,开放申购,开放赎回,nan
2021-01-05,2.3610,2.3610,0.47%,开放申购,开放赎回,nan
2021-01-04,2.3500,2.3500,0.95%,开放申购,开放赎回,nan
2020-12-31,2.3280,2.3280,0.87%,开放申购,开放赎回,nan
2020-12-30,2.3080,2.3080,0.39%,开放申购,开放赎回,nan
2020-12-29,2.2990,2.2990,-0.30%,开放申购,开放赎回,nan
2020-12-28,2.3060,2.3060,-0.26%,开放申购,开放赎回,nan
2020-12-25,2.3120,2.3120,0.65%,开放申购,开放赎回,nan
2020-12-24,2.2970,2.2970,-0.56%,开放申购,开放赎回,nan
2020-12-23,2.3100,2.3100,1.23%,开放申购,开放赎回,nan
2020-12-22,2.2820,2.2820,-0.87%,开放申购,开放赎回,nan
2020-12-21,2.3020,2.3020,1.05%,开放申购,开放赎回,nan
2020-12-18,2.2780,2.2780,0.04%,开放申购,开放赎回,nan
2020-12-17,2.2770,2.2770,-0.04%,开放申购,开放赎回,nan
2020-12-16,2.2780,2.2780,0.04%,开放申购,开放赎回,nan
2020-12-15,2.2770,2.2770,0.49%,开放申购,开放赎回,nan
2020-12-14,2.2660,2.2660,0.44%,开放申购,开放赎回,nan
2020-12-11,2.2560,2.2560,-0.53%,开放申购,开放赎回,nan
2020-12-10,2.2680,2.2680,0.53%,开放申购,开放赎回,nan
2020-12-09,2.2560,2.2560,-0.49%,开放申购,开放赎回,nan
2020-12-08,2.2670,2.2670,0.00%,开放申购,开放赎回,nan
2020-12-07,2.2670,2.2670,0.04%,开放申购,开放赎回,nan
2020-12-04,2.2660,2.2660,0.04%,开放申购,开放赎回,nan
