净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2021-02-01,5.4040,5.4040,1.03%,开放申购,开放赎回,nan
2021-01-29,5.3490,5.3490,0.75%,开放申购,开放赎回,nan
2021-01-28,5.3090,5.3090,-1.70%,开放申购,开放赎回,nan
2021-01-27,5.4010,5.4010,-0.74%,开放申购,开放赎回,nan
2021-01-26,5.4410,5.4410,-2.03%,开放申购,开放赎回,nan
2021-01-25,5.5540,5.5540,3.95%,开放申购,开放赎回,nan
2021-01-22,5.3430,5.3430,0.23%,开放申购,开放赎回,nan
2021-01-21,5.3310,5.3310,2.42%,开放申购,开放赎回,nan
2021-01-20,5.2050,5.2050,1.11%,开放申购,开放赎回,nan
2021-01-19,5.1480,5.1480,-1.77%,开放申购,开放赎回,nan
2021-01-18,5.2410,5.2410,-0.23%,开放申购,开放赎回,nan
2021-01-15,5.2530,5.2530,-1.92%,开放申购,开放赎回,nan
2021-01-14,5.3560,5.3560,-2.69%,开放申购,开放赎回,nan
2021-01-13,5.5040,5.5040,-1.04%,开放申购,开放赎回,nan
2021-01-12,5.5620,5.5620,2.28%,开放申购,开放赎回,nan
2021-01-11,5.4380,5.4380,-2.09%,开放申购,开放赎回,nan
2021-01-08,5.5540,5.5540,-2.34%,开放申购,开放赎回,nan
2021-01-07,5.6870,5.6870,1.77%,开放申购,开放赎回,nan
2021-01-06,5.5880,5.5880,0.31%,开放申购,开放赎回,nan
2021-01-05,5.5710,5.5710,3.26%,开放申购,开放赎回,nan
2021-01-04,5.3950,5.3950,2.29%,开放申购,开放赎回,nan
2020-12-31,5.2740,5.2740,1.60%,开放申购,开放赎回,nan
2020-12-30,5.1910,5.1910,1.55%,开放申购,开放赎回,nan
2020-12-29,5.1120,5.1120,-0.78%,开放申购,开放赎回,nan
2020-12-28,5.1520,5.1520,3.06%,开放申购,开放赎回,nan
2020-12-25,4.9990,4.9990,0.20%,开放申购,开放赎回,nan
2020-12-24,4.9890,4.9890,-0.70%,开放申购,开放赎回,nan
2020-12-23,5.0240,5.0240,0.22%,开放申购,开放赎回,nan
2020-12-22,5.0130,5.0130,0.58%,开放申购,开放赎回,nan
2020-12-21,4.9840,4.9840,0.61%,开放申购,开放赎回,nan
2020-12-18,4.9540,4.9540,-0.20%,开放申购,开放赎回,nan
2020-12-17,4.9640,4.9640,1.78%,开放申购,开放赎回,nan
2020-12-16,4.8770,4.8770,1.22%,开放申购,开放赎回,nan
2020-12-15,4.8180,4.8180,-0.17%,开放申购,开放赎回,nan
2020-12-14,4.8260,4.8260,2.44%,开放申购,开放赎回,nan
2020-12-11,4.7110,4.7110,0.47%,开放申购,开放赎回,nan
2020-12-10,4.6890,4.6890,0.54%,开放申购,开放赎回,nan
2020-12-09,4.6640,4.6640,-0.74%,开放申购,开放赎回,nan
2020-12-08,4.6990,4.6990,0.30%,开放申购,开放赎回,nan
2020-12-07,4.6850,4.6850,0.32%,开放申购,开放赎回,nan
2020-12-04,4.6700,4.6700,1.43%,开放申购,开放赎回,nan
2020-12-03,4.6040,4.6040,0.77%,开放申购,开放赎回,nan
2020-12-02,4.5690,4.5690,0.26%,开放申购,开放赎回,nan
2020-12-01,4.5570,4.5570,0.93%,开放申购,开放赎回,nan
2020-11-30,4.5150,4.5150,-1.93%,开放申购,开放赎回,nan
2020-11-27,4.6040,4.6040,0.74%,开放申购,开放赎回,nan
2020-11-26,4.5700,4.5700,0.15%,开放申购,开放赎回,nan
2020-11-25,4.5630,4.5630,-2.48%,开放申购,开放赎回,nan
2020-11-24,4.6790,4.6790,-0.34%,开放申购,开放赎回,nan
2020-11-23,4.6950,4.6950,0.88%,开放申购,开放赎回,nan
2020-11-20,4.6540,4.6540,1.02%,开放申购,开放赎回,nan
2020-11-19,4.6070,4.6070,1.54%,开放申购,开放赎回,nan
2020-11-18,4.5370,4.5370,-1.46%,开放申购,开放赎回,nan
2020-11-17,4.6040,4.6040,-0.78%,开放申购,开放赎回,nan
