净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2021-02-01,3.2590,5.0660,0.77%,开放申购,开放赎回,nan
2021-01-29,3.2340,5.0410,0.78%,开放申购,开放赎回,nan
2021-01-28,3.2090,5.0160,-2.40%,开放申购,开放赎回,nan
2021-01-27,3.2880,5.0950,-0.69%,开放申购,开放赎回,nan
2021-01-26,3.3110,5.1180,-2.90%,开放申购,开放赎回,nan
2021-01-25,3.4100,5.2170,4.00%,开放申购,开放赎回,nan
2021-01-22,3.2790,5.0860,1.80%,开放申购,开放赎回,nan
2021-01-21,3.2210,5.0280,2.22%,开放申购,开放赎回,nan
2021-01-20,3.1510,4.9580,1.65%,开放申购,开放赎回,nan
2021-01-19,3.1000,4.9070,-2.27%,开放申购,开放赎回,nan
2021-01-18,3.1720,4.9790,-0.41%,开放申购,开放赎回,nan
2021-01-15,3.1850,4.9920,-0.44%,开放申购,开放赎回,nan
2021-01-14,3.1990,5.0060,-2.68%,开放申购,开放赎回,nan
2021-01-13,3.2870,5.0940,-2.04%,限制大额申购,开放赎回,每份派现金0.1700元
2021-01-12,3.5290,5.1660,2.89%,限制大额申购,开放赎回,nan
2021-01-11,3.4300,5.0670,-1.52%,限制大额申购,开放赎回,nan
2021-01-08,3.4830,5.1200,-2.44%,限制大额申购,开放赎回,nan
2021-01-07,3.5700,5.2070,2.23%,开放申购,开放赎回,nan
2021-01-06,3.4920,5.1290,0.90%,开放申购,开放赎回,nan
2021-01-05,3.4610,5.0980,3.41%,开放申购,开放赎回,nan
2021-01-04,3.3470,4.9840,1.92%,开放申购,开放赎回,nan
2020-12-31,3.2840,4.9210,1.83%,开放申购,开放赎回,nan
2020-12-30,3.2250,4.8620,1.93%,开放申购,开放赎回,nan
2020-12-29,3.1640,4.8010,-0.57%,开放申购,开放赎回,nan
2020-12-28,3.1820,4.8190,1.05%,开放申购,开放赎回,nan
2020-12-25,3.1490,4.7860,1.58%,开放申购,开放赎回,nan
2020-12-24,3.1000,4.7370,0.52%,开放申购,开放赎回,nan
2020-12-23,3.0840,4.7210,0.42%,开放申购,开放赎回,nan
2020-12-22,3.0710,4.7080,0.03%,开放申购,开放赎回,nan
2020-12-21,3.0700,4.7070,1.96%,开放申购,开放赎回,nan
2020-12-18,3.0110,4.6480,-0.89%,开放申购,开放赎回,nan
2020-12-17,3.0380,4.6750,1.57%,开放申购,开放赎回,nan
2020-12-16,2.9910,4.6280,0.81%,开放申购,开放赎回,nan
2020-12-15,2.9670,4.6040,0.99%,开放申购,开放赎回,nan
2020-12-14,2.9380,4.5750,2.41%,开放申购,开放赎回,nan
2020-12-11,2.8690,4.5060,-0.21%,开放申购,开放赎回,nan
2020-12-10,2.8750,4.5120,1.13%,开放申购,开放赎回,nan
2020-12-09,2.8430,4.4800,-1.32%,开放申购,开放赎回,nan
2020-12-08,2.8810,4.5180,0.31%,开放申购,开放赎回,nan
2020-12-07,2.8720,4.5090,0.49%,开放申购,开放赎回,nan
2020-12-04,2.8580,4.4950,1.74%,开放申购,开放赎回,nan
2020-12-03,2.8090,4.4460,1.12%,开放申购,开放赎回,nan
2020-12-02,2.7780,4.4150,0.29%,开放申购,开放赎回,nan
2020-12-01,2.7700,4.4070,1.50%,开放申购,开放赎回,nan
2020-11-30,2.7290,4.3660,-1.66%,开放申购,开放赎回,nan
