净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2021-01-21,2.0138,2.0438,1.49%,开放申购,开放赎回,nan
2021-01-20,1.9843,2.0143,1.58%,开放申购,开放赎回,nan
2021-01-19,1.9535,1.9835,-0.75%,开放申购,开放赎回,nan
2021-01-18,1.9682,1.9982,1.35%,开放申购,开放赎回,nan
2021-01-15,1.9419,1.9719,-0.28%,开放申购,开放赎回,nan
2021-01-14,1.9474,1.9774,-1.02%,开放申购,开放赎回,nan
2021-01-13,1.9675,1.9975,-0.37%,开放申购,开放赎回,nan
2021-01-12,1.9748,2.0048,1.74%,开放申购,开放赎回,nan
2021-01-11,1.9411,1.9711,-0.91%,开放申购,开放赎回,nan
2021-01-08,1.9590,1.9890,0.24%,开放申购,开放赎回,nan
2021-01-07,1.9544,1.9844,0.60%,开放申购,开放赎回,nan
2021-01-06,1.9428,1.9728,0.13%,开放申购,开放赎回,nan
2021-01-05,1.9403,1.9703,1.57%,开放申购,开放赎回,nan
2021-01-04,1.9104,1.9404,0.92%,开放申购,开放赎回,nan
2020-12-31,1.8930,1.9230,1.47%,开放申购,开放赎回,nan
2020-12-30,1.8655,1.8955,1.25%,开放申购,开放赎回,nan
2020-12-29,1.8424,1.8724,0.04%,开放申购,开放赎回,nan
2020-12-28,1.8416,1.8716,-0.56%,开放申购,开放赎回,nan
2020-12-25,1.8519,1.8819,1.04%,开放申购,开放赎回,nan
2020-12-24,1.8328,1.8628,-0.94%,开放申购,开放赎回,nan
2020-12-23,1.8502,1.8802,0.68%,开放申购,开放赎回,nan
2020-12-22,1.8377,1.8677,-1.44%,开放申购,开放赎回,nan
2020-12-21,1.8646,1.8946,1.30%,开放申购,开放赎回,nan
2020-12-18,1.8407,1.8707,-1.05%,开放申购,开放赎回,nan
2020-12-17,1.8602,1.8902,0.85%,开放申购,开放赎回,nan
2020-12-16,1.8445,1.8745,0.13%,开放申购,开放赎回,nan
2020-12-15,1.8421,1.8721,1.00%,开放申购,开放赎回,nan
2020-12-14,1.8239,1.8539,1.38%,开放申购,开放赎回,nan
2020-12-11,1.7991,1.8291,-1.24%,开放申购,开放赎回,nan
2020-12-10,1.8216,1.8516,0.22%,开放申购,开放赎回,nan
2020-12-09,1.8176,1.8476,-1.52%,开放申购,开放赎回,nan
2020-12-08,1.8457,1.8757,0.04%,开放申购,开放赎回,nan
2020-12-07,1.8450,1.8750,-0.04%,开放申购,开放赎回,nan
2020-12-04,1.8457,1.8757,1.08%,开放申购,开放赎回,nan
2020-12-03,1.8260,1.8560,0.52%,开放申购,开放赎回,nan
2020-12-02,1.8165,1.8465,-0.07%,开放申购,开放赎回,nan
2020-12-01,1.8177,1.8477,1.77%,开放申购,开放赎回,nan
2020-11-30,1.7860,1.8160,-0.49%,开放申购,开放赎回,nan
2020-11-27,1.7948,1.8248,0.75%,开放申购,开放赎回,nan
2020-11-26,1.7815,1.8115,0.04%,开放申购,开放赎回,nan
2020-11-25,1.7807,1.8107,-1.99%,开放申购,开放赎回,nan
2020-11-24,1.8168,1.8468,-0.45%,开放申购,开放赎回,nan
2020-11-23,1.8251,1.8551,-0.22%,开放申购,开放赎回,nan
2020-11-20,1.8292,1.8592,0.37%,开放申购,开放赎回,nan
2020-11-19,1.8225,1.8525,0.97%,开放申购,开放赎回,nan
2020-11-18,1.8050,1.8350,-0.64%,开放申购,开放赎回,nan
2020-11-17,1.8166,1.8466,-0.99%,开放申购,开放赎回,nan
2020-11-16,1.8347,1.8647,0.79%,开放申购,开放赎回,nan
2020-11-13,1.8203,1.8503,-0.87%,开放申购,开放赎回,nan
2020-11-12,1.8362,1.8662,0.46%,开放申购,开放赎回,nan
2020-11-11,1.8278,1.8578,-1.38%,开放申购,开放赎回,nan
2020-11-10,1.8533,1.8833,-0.44%,开放申购,开放赎回,nan
2020-11-09,1.8615,1.8915,1.68%,开放申购,开放赎回,nan
2020-11-06,1.8308,1.8608,-0.96%,开放申购,开放赎回,nan
2020-11-05,1.8486,1.8786,1.40%,开放申购,开放赎回,nan
2020-11-04,1.8230,1.8530,0.55%,开放申购,开放赎回,nan
2020-11-03,1.8130,1.8430,0.73%,开放申购,开放赎回,nan
2020-11-02,1.7999,1.8299,0.61%,开放申购,开放赎回,nan
2020-10-30,1.7889,1.8189,-1.66%,开放申购,开放赎回,nan
2020-10-29,1.8191,1.8491,0.86%,开放申购,开放赎回,nan
2020-10-28,1.8035,1.8335,0.87%,开放申购,开放赎回,nan
2020-10-27,1.7879,1.8179,1.35%,开放申购,开放赎回,nan
2020-10-26,1.7640,1.7940,0.28%,开放申购,开放赎回,nan
2020-10-23,1.7590,1.7890,-2.33%,开放申购,开放赎回,nan
2020-10-22,1.8010,1.8310,-0.75%,开放申购,开放赎回,nan
2020-10-21,1.8147,1.8447,-0.56%,开放申购,开放赎回,nan
2020-10-20,1.8250,1.8550,1.00%,开放申购,开放赎回,nan
2020-10-19,1.8069,1.8369,-1.65%,开放申购,开放赎回,nan
2020-10-16,1.8373,1.8673,-0.44%,开放申购,开放赎回,nan
2020-10-15,1.8455,1.8755,-0.51%,开放申购,开放赎回,nan
2020-10-14,1.8550,1.8850,-0.73%,开放申购,开放赎回,nan
2020-10-13,1.8687,1.8987,0.80%,开放申购,开放赎回,nan
2020-10-12,1.8539,1.8839,2.16%,开放申购,开放赎回,nan
2020-10-09,1.8147,1.8447,2.17%,开放申购,开放赎回,nan
