"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年1月20日","29,962.47","29,794.41","29,993.47","29,676.54","3.94B","1.08%"
"2021年1月19日","29,642.28","29,100.17","29,848.43","29,100.17","4.57B","2.70%"
"2021年1月18日","28,862.77","28,454.59","28,864.25","28,390.29","2.96B","1.01%"
"2021年1月15日","28,573.86","28,394.37","28,667.59","28,294.66","4.49B","0.27%"
"2021年1月14日","28,496.86","28,408.12","28,510.92","28,280.09","3.21B","0.93%"
"2021年1月13日","28,235.60","28,309.32","28,414.54","28,136.64","3.56B","-0.15%"
"2021年1月12日","28,276.75","27,894.29","28,276.75","27,781.42","3.40B","1.32%"
"2021年1月11日","27,908.22","28,003.98","28,176.65","27,794.81","4.37B","0.11%"
"2021年1月8日","27,878.22","27,630.03","27,920.77","27,538.20","5.67B","1.20%"
"2021年1月7日","27,548.52","27,715.94","27,752.36","27,457.47","3.78B","-0.52%"
"2021年1月6日","27,692.30","27,613.34","27,756.43","27,389.78","3.08B","0.15%"
"2021年1月5日","27,649.86","27,281.34","27,690.21","27,150.38","3.28B","0.64%"
"2021年1月4日","27,472.81","27,087.13","27,502.83","27,079.24","2.87B","0.89%"
"2020年12月31日","27,231.13","27,194.79","27,340.99","27,163.51","2.05B","0.31%"
"2020年12月30日","27,147.11","26,695.11","27,159.47","26,670.97","2.55B","2.18%"
"2020年12月29日","26,568.49","26,490.45","26,618.78","26,432.91","2.30B","0.96%"
"2020年12月28日","26,314.63","26,288.37","26,514.08","26,264.32","2.67B","-0.27%"
"2020年12月24日","26,386.56","26,342.87","26,470.40","26,221.30","1.30B","0.16%"
"2020年12月23日","26,343.10","26,083.11","26,343.10","26,071.76","2.01B","0.86%"
"2020年12月22日","26,119.25","26,260.78","26,365.20","25,998.87","1.75B","-0.71%"
"2020年12月21日","26,306.68","26,422.62","26,498.65","26,274.65","2.04B","-0.72%"
"2020年12月18日","26,498.60","26,650.49","26,668.10","26,363.05","3.08B","-0.67%"
"2020年12月17日","26,678.38","26,608.44","26,678.38","26,390.59","2.26B","0.82%"
"2020年12月16日","26,460.29","26,421.21","26,510.19","26,318.74","2.04B","0.97%"
"2020年12月15日","26,207.29","26,418.93","26,436.04","26,127.68","2.59B","-0.69%"
"2020年12月14日","26,389.52","26,522.10","26,544.12","26,318.11","2.21B","-0.44%"
"2020年12月11日","26,505.87","26,634.21","26,704.01","26,443.01","2.50B","0.36%"
"2020年12月10日","26,410.59","26,335.26","26,434.47","26,287.02","-","-0.35%"
"2020年12月9日","26,502.84","26,510.42","26,666.94","26,445.66","2.54B","0.75%"
"2020年12月8日","26,304.56","26,460.35","26,460.35","26,270.91","2.54B","-0.76%"
"2020年12月7日","26,506.85","26,870.58","26,870.58","26,256.40","2.81B","-1.23%"
"2020年12月4日","26,835.92","26,811.59","26,835.92","26,652.34","3.21B","0.40%"
"2020年12月3日","26,728.50","26,623.42","26,781.99","26,556.02","2.83B","0.74%"
"2020年12月2日","26,532.58","26,670.12","26,670.12","26,379.48","3.70B","-0.13%"
"2020年12月1日","26,567.68","26,422.71","26,662.18","26,375.24","3.56B","0.86%"
"2020年11月30日","26,341.49","26,853.39","26,960.93","26,322.68","5.74B","-2.06%"
"2020年11月27日","26,894.68","26,758.49","27,009.15","26,704.60","2.73B","0.28%"
"2020年11月26日","26,819.45","26,695.25","26,819.45","26,612.00","1.98B","0.56%"
"2020年11月25日","26,669.75","26,819.96","27,040.41","26,591.30","2.86B","0.31%"
"2020年11月24日","26,588.20","26,630.34","26,630.34","26,409.77","2.01B","0.39%"
"2020年11月23日","26,486.20","26,659.79","26,662.66","26,369.34","2.24B","0.13%"
"2020年11月20日","26,451.54","26,406.87","26,564.25","26,313.28","2.15B","0.36%"
"2020年11月19日","26,356.97","26,460.61","26,460.61","26,311.64","2.41B","-0.71%"
"2020年11月18日","26,544.29","26,434.24","26,618.01","26,344.86","2.29B","0.49%"
"2020年11月17日","26,415.09","26,515.09","26,530.54","26,339.88","2.39B","0.13%"
"2020年11月16日","26,381.67","26,362.07","26,394.40","26,191.54","2.09B","0.86%"
"2020年11月13日","26,156.86","26,114.60","26,156.86","25,909.18","2.44B","-0.05%"
"2020年11月12日","26,169.38","26,409.34","26,460.94","26,071.15","2.68B","-0.22%"
"2020年11月11日","26,226.98","26,226.80","26,432.56","26,168.63","4.12B","-0.28%"
"2020年11月10日","26,301.48","26,474.04","26,474.04","26,041.87","3.85B","1.10%"
"2020年11月9日","26,016.17","26,157.77","26,172.23","25,950.41","2.35B","1.18%"
"2020年11月6日","25,712.97","25,750.78","25,799.97","25,540.98","2.37B","0.07%"
"2020年11月5日","25,695.92","25,500.91","25,695.92","25,343.44","2.62B","3.25%"
"2020年11月4日","24,886.14","24,790.00","25,093.72","24,733.23","2.31B","-0.21%"
"2020年11月3日","24,939.73","24,689.56","25,048.53","24,689.51","2.24B","1.96%"
"2020年11月2日","24,460.01","24,274.83","24,486.02","24,232.66","2.36B","1.46%"
"2020年10月30日","24,107.42","24,535.90","24,600.54","24,029.95","2.54B","-1.95%"
"2020年10月29日","24,586.60","24,290.01","24,678.90","24,258.56","1.94B","-0.49%"
"2020年10月28日","24,708.80","24,773.54","24,844.79","24,586.06","2.01B","-0.32%"
"2020年10月27日","24,787.19","24,839.97","24,872.52","24,602.11","2.44B","-0.53%"
"2020年10月23日","24,918.78","24,773.12","24,970.59","24,683.25","2.37B","0.54%"
"2020年10月22日","24,786.13","24,696.31","24,817.01","24,556.55","2.49B","0.13%"
"2020年10月21日","24,754.42","24,695.54","24,903.00","24,653.16","1.93B","0.75%"
"2020年10月20日","24,569.54","24,571.64","24,600.39","24,456.84","1.88B","0.11%"
"2020年10月19日","24,542.26","24,565.43","24,771.85","24,478.47","3.61B","0.64%"
"2020年10月16日","24,386.79","24,194.41","24,456.97","24,194.41","2.70B","0.94%"
"2020年10月15日","24,158.54","24,533.75","24,573.25","24,102.21","2.13B","-2.06%"
