"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年7月27日","1,955.40","1,929.00","1,971.30","1,926.80","137.85K","1.57%"
"2020年7月24日","1,925.20","1,912.30","1,933.60","1,908.00","66.45K","0.41%"
"2020年7月23日","1,917.40","1,900.00","1,927.10","1,890.40","72.36K","1.31%"
"2020年7月22日","1,892.60","1,867.80","1,899.00","1,867.80","49.86K","1.23%"
"2020年7月21日","1,869.60","1,842.50","1,870.50","1,839.90","31.69K","1.60%"
"2020年7月20日","1,840.10","1,835.50","1,846.10","1,830.70","19.19K","0.35%"
"2020年7月17日","1,833.70","1,822.90","1,837.60","1,821.00","16.39K","0.39%"
"2020年7月16日","1,826.50","1,840.70","1,843.70","1,819.90","18.23K","-0.82%"
"2020年7月15日","1,841.60","1,839.70","1,847.20","1,831.90","13.32K","0.01%"
"2020年7月14日","1,841.50","1,834.20","1,843.00","1,819.30","40.63K","-0.12%"
"2020年7月13日","1,843.70","1,831.60","1,847.70","1,831.60","36.09K","0.68%"
"2020年7月10日","1,831.30","1,837.00","1,846.30","1,825.50","40.13K","-0.12%"
"2020年7月9日","1,833.50","1,849.80","1,854.60","1,829.60","48.72K","-0.92%"
"2020年7月8日","1,850.60","1,832.60","1,857.00","1,829.10","58.42K","0.89%"
"2020年7月7日","1,834.30","1,817.20","1,835.00","1,804.80","18.51K","1.00%"
"2020年7月6日","1,816.10","1,809.30","1,821.30","1,801.60","10.49K","1.59%"
"2020年7月3日","1,787.60","1,786.90","1,788.70","1,783.65","-","-1.35%"
"2020年7月2日","1,812.00","1,802.20","1,813.90","1,788.30","11.53K","0.56%"
"2020年7月1日","1,801.90","1,817.50","1,827.10","1,789.80","15.52K","-1.02%"
"2020年6月30日","1,820.40","1,803.70","1,823.50","1,794.00","8.60K","1.13%"
"2020年6月29日","1,800.10","1,807.30","1,808.60","1,795.30","4.16K","0.09%"
"2020年6月26日","1,798.50","1,792.50","1,804.00","1,772.00","4.76K","0.56%"
"2020年6月25日","1,788.40","1,789.30","1,796.60","1,781.60","6.30K","-0.23%"
"2020年6月24日","1,792.60","1,800.40","1,810.70","1,787.80","8.73K","-0.25%"
"2020年6月23日","1,797.10","1,780.00","1,801.50","1,774.00","4.07K","0.86%"
"2020年6月22日","1,781.70","1,780.30","1,793.60","1,769.00","5.87K","0.74%"
"2020年6月19日","1,768.60","1,746.60","1,775.60","1,745.50","8.36K","1.18%"
"2020年6月18日","1,747.90","1,752.90","1,765.20","1,739.60","4.78K","-0.31%"
"2020年6月17日","1,753.40","1,751.50","1,756.80","1,735.60","3.83K","-0.06%"
"2020年6月16日","1,754.40","1,751.40","1,757.50","1,739.80","4.23K","0.54%"
"2020年6月15日","1,744.90","1,759.10","1,759.60","1,724.60","4.43K","-0.59%"
"2020年6月12日","1,755.20","1,751.70","1,770.50","1,746.90","3.61K","-0.14%"
"2020年6月11日","1,757.60","1,764.90","1,772.60","1,746.00","6.57K","1.07%"
"2020年6月10日","1,739.00","1,737.70","1,767.00","1,732.80","8.14K","-0.07%"
